관광지명,group_1,group_1_tag,group_2,group_2_tag,group_3,group_3_tag,group_4,group_4_tag,group_5,group_5_tag,Group,group1,group2,group3,group4,group5
그랑블루 요트투어,1.0,['커플'],2.0,"['커플', '여름']",0.0,,5.0,"['체험', '레저', '커플', '수상', '여름']",0.0,,5.0,0,0,0,1,0
그랑블루호(선상낚시),1.0,['커플'],1.0,['커플'],0.0,,4.0,"['체험', '레저', '커플', '수상']",0.0,,4.0,0,0,0,1,0
그레이그로브,1.0,['동반'],1.0,['동반'],4.0,"['카페', '식당', '동반', '음식']",1.0,['동반'],3.0,"['식당', '카페', '동반']",4.0,0,0,1,0,0
그루밍제주,1.0,['동반'],1.0,['동반'],1.0,['동반'],2.0,"['애견', '동반']",1.0,['동반'],2.0,0,0,0,1,0
그림그리는펜션,6.0,"['동반', '바비큐', '와이파이존', '보호', '단체', '가족']",2.0,"['관광', '동반']",3.0,"['관광', '동반', '문화']",5.0,"['체험', '레저', '관광', '수상', '동반']",4.0,"['문화', '관광', '동반', '화관']",6.0,1,0,0,0,0
그제바람 윈드서핑패들보드,2.0,"['러닝', '홀리데이인']",2.0,"['관광지', '관광']",2.0,"['관광지', '관광']",5.0,"['체험', '레저', '관광', '수상', '관광지']",1.0,['관광'],5.0,0,0,0,1,0
그초록,1.0,['동반'],1.0,['동반'],8.0,"['카페', '라떼', '식당', '동반', '음식', '아메리카노', '카페라떼', '바닐라']",1.0,['동반'],3.0,"['식당', '카페', '동반']",8.0,0,0,1,0,0
금능이큐스테이호텔,1.0,['동반'],1.0,['동반'],1.0,['동반'],1.0,['동반'],1.0,['동반'],1.0,1,1,1,1,1
금능제면소,1.0,['동반'],1.0,['동반'],3.0,"['카페', '식당', '동반']",1.0,['동반'],3.0,"['식당', '카페', '동반']",3.0,0,0,1,0,1
금능포구,2.0,"['자연', '경관']",4.0,"['경관', '자연', '어린이', '해변']",2.0,"['문화', '어린이']",2.0,"['어린이', '해변']",8.0,"['문화', '유적지', '역사', '유적', '포구', '해변', '경관', '자연']",8.0,0,0,0,0,1
