관광지명,Group4,Group4_tag,group4_1,group4_1_tag,group4_2,group4_2_tag,group4_3,group4_3_tag
솔티 오렌지,1,['체험'],0.0,,0.0,,0.0,
쇠소깍 전통 조각배 체험									,1,['체험'],0.0,,0.0,,0.0,
숫모르편백나무숲길,1,['체험'],0.0,,0.0,,0.0,
신흥바다낚시공원(낚고락고),1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
아일랜드 플라워,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
아일랜드에프,1,['체험'],0.0,,0.0,,0.0,
아토도예공방,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
아트진,1,['체험'],0.0,,0.0,,0.0,
아틀리에1950,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
애월스쿠버다이빙스쿨,1,"['체험', '레저', '수상']",0.0,['레저'],1.0,"['레저', '수상']",0.0,['레저']
언더더씨 스쿠버다이빙,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
에버리스 골프리조트,1,"['체험', '레저']",1.0,['레저'],1.0,['레저'],1.0,['레저']
에이스서프,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
에코승마아카데미,1,"['체험', '이색', '승마']",0.0,,0.0,,1.0,"['이색', '승마']"
올레바당체험마을,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
월정퀵서프,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
이음새 농장,1,['체험'],0.0,,0.0,,0.0,
인투다이브,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
일레븐프리다이빙 제주센터,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
자연인,1,['캠핑'],0.0,,1.0,['캠핑'],1.0,['캠핑']
잠수타기다이브클럽,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
제이앤승마클럽,1,"['체험', '이색', '승마']",0.0,,0.0,,1.0,"['이색', '승마']"
